objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,link
tp00026,,,,Rigoletto,Verdi,2004,after Victor Hugo’s play Le roi s’amuse,Melodramma in three acts,"Winnipeg, Centennial Concert Hall ",49.89949611,-97.137168,Ty's Collection,,Image;StillImage,image/jpeg,,,,
tp00027,,,,Cavalleria rusticana and I pagliacci,Mascagni and Leoncavallo,2004,"Rustic Chivalry
Players","Dramma lirico in one act
Dramma in a prologue and two acts","Winnipeg, Centennial Concert Hall ",49.89949611,-97.137168,Ty's Collection,,Image;StillImage,image/jpeg,,,,
tp00028,,,,Lucia di Lammermoor,Donizetti,2003,Lucy of Lammermoor, Dramma tragico in three acts,"Winnipeg, Centennial Concert Hall ",49.89949611,-97.137168,Ty's Collection,,Image;StillImage,image/jpeg,,,,
tp00029,,,,Faust,Gonoud,1999,"after Carré’s Faust et Marguerite and Johann Wolfgang von Goethe ’s Faust , Part I",Opéra in five acts,"Winnipeg, Centennial Concert Hall ",49.89949611,-97.137168,Ty's Collection,,Image;StillImage,image/jpeg,,,,
tp00030,,,,La Cenerentola ossia La bontà in trionfo,Rossini,1996, Cinderella  or Goodness Triumphant,,"Winnipeg, Centennial Concert Hall ",49.89949611,-97.137168,Ty's Collection,,Image;StillImage,image/jpeg,,,,
tp00031,,,,Rigoletto,Verdi,1995,after Victor Hugo’s play Le roi s’amuse,Melodramma in three acts,"Winnipeg, Centennial Concert Hall ",49.89949611,-97.137168,Ty's Collection,,Image;StillImage,image/jpeg,,,,
tp00032,,,,Madama Butterfly,Puccini,1993,Madame Butterfly,Tragedia giapponese in two acts,"Winnipeg, Centennial Concert Hall ",49.89949611,-97.137168,Ty's Collection,,Image;StillImage,image/jpeg,,,,
tp00033,,,,Tosca,Puccini,2014,after Victorien Sardou’s play La Tosca,Melodramma in three acts,"Ottawa, National Arts Centre",45.4234077,-75.69442935,Ty's Collection,,Image;StillImage,image/jpeg,,,,
tp00034,butterfy-olo2014.jpg,,,Madama Butterfly,Puccini,2014,Madame Butterfly,Tragedia giapponese in two acts,"Ottawa, National Arts Centre",45.4234077,-75.69442935,Ty's Collection,,Image;StillImage,image/jpeg,,,,
tp00035,,,,Carmen,Bizet,2013,,Opéra comique in four acts,"Ottawa, National Arts Centre",45.4234077,-75.69442935,Ty's Collection,,Image;StillImage,image/jpeg,,,,
tp00036,,,,La traviata,,2013,The Fallen Woman, Opera in three acts,"Ottawa, National Arts Centre",45.4234077,-75.69442935,Ty's Collection,,Image;StillImage,image/jpeg,,,,
tp00037,cav-pag-olo2011.jpg,,,Pagliacci ,,2011,Players,Dramma in a prologue and two acts,"Ottawa, National Arts Centre",45.4234077,-75.69442935,Ty's Collection,,Image;StillImage,image/jpeg,,,,
tp00038,,,,Lucia di Lammermoor,,2011,Lucy of Lammermoor, Dramma tragico in three acts,"Ottawa, National Arts Centre",45.4234077,-75.69442935,Ty's Collection,,Image;StillImage,image/jpeg,,,,
tp00039,,,,Manon,,2010,,,"Ottawa, National Arts Centre",45.4234077,-75.69442935,Ty's Collection,,Image;StillImage,image/jpeg,,,,
tp00040,,,,Macbeth,Verdi,2010,,,"Ottawa, National Arts Centre",45.4234077,-75.69442935,Ty's Collection,,Image;StillImage,image/jpeg,,,,
tp00041,,,,The Magic Flute ,Mozart,2009,Die Zauberflote,,"Ottawa, National Arts Centre",45.4234077,-75.69442935,Ty's Collection,,Image;StillImage,image/jpeg,,,,
tp00042,onegin-olo2009.jpg,,,Eugene Onegin,Tchaikovsky,2009,,,"Ottawa, National Arts Centre",45.4234077,-75.69442935,Ty's Collection,,Image;StillImage,image/jpeg,,,,
tp00043,,,,Le nozze di Figaro,Mozart,2008,,,"Ottawa, National Arts Centre",45.4234077,-75.69442935,Ty's Collection,,Image;StillImage,image/jpeg,,,,
tp00044,dongiovanni-olo2007.jpg,,,Don Giovanni,Mozart,2007,,,"Ottawa, National Arts Centre",45.4234077,-75.69442935,Ty's Collection,,Image;StillImage,image/jpeg,,,,
tp00045,,,,Otello,Verdi,2007,,,"Ottawa, National Arts Centre",45.4234077,-75.69442935,Ty's Collection,,Image;StillImage,image/jpeg,,,,
tp00046,,,,Il barbiere di Siviglia,Rossini,2006,,,"Ottawa, National Arts Centre",45.4234077,-75.69442935,Ty's Collection,,Image;StillImage,image/jpeg,,,,
tp00047,falstaff-olo2006.jpg,,,Falstaff,Verdi,2006,,,"Ottawa, National Arts Centre",45.4234077,-75.69442935,Ty's Collection,,Image;StillImage,image/jpeg,,,,
tp00048,,,,Roméo et Juliette,Gonoud,2005,,Opéra comique in three acts,"Ottawa, National Arts Centre",45.4234077,-75.69442935,Ty's Collection,,Image;StillImage,image/jpeg,,,,
tp00049,,,,Les Contes d’Hoffmann,,2005,based on the stories of E(rnst) T(heodor) A(madeus) Hoffmann,Opéra fantastique in five acts,"Ottawa, National Arts Centre",45.4234077,-75.69442935,Ty's Collection,,Image;StillImage,image/jpeg,,,,
tp00050,,,,The Telephone/The Old Maid and the Thief,Menotti,2005,,,"Nepean,  Centrepointe Theatre",45.34666589,-75.76294125,Ty's Collection,,Image;StillImage,image/jpeg,,,,
tp00051,,,,Rigoletto,Verdi,2004,,,"Ottawa, National Arts Centre",45.4234077,-75.69442935,Ty's Collection,,Image;StillImage,image/jpeg,,,,
tp00052,,,,Un ballo in maschera,Verdi,2003,‘A Masked Ball,Melodramma in three acts,"Ottawa, National Arts Centre",45.4234077,-75.69442935,Ty's Collection,,Image;StillImage,image/jpeg,,,,
tp00053,,,,La bohème,Puccini,2002,,,"Ottawa, National Arts Centre",45.4234077,-75.69442935,Ty's Collection,,Image;StillImage,image/jpeg,,,,
tp00054,,,,Il trovatore,Verdi,2001,,,"Ottawa, National Arts Centre",45.4234077,-75.69442935,Ty's Collection,,Image;StillImage,image/jpeg,,,,
tp00055,,,,La fille du régiment,Donizetti,2000,The Daughter of the Regiment,Opéra comique in two acts,"Ottawa, National Arts Centre",45.4234077,-75.69442935,Ty's Collection,,Image;StillImage,image/jpeg,,,,
