objectid,date,creator,link,title,description,location,latitude,longitude,orchestra name,performance location,,filename,type,format,language,rights,subjects
tp00114,2013,Bizet,https://www.wikidata.org/wiki/Q56158,Carmen,Opera Lyra Ottawa,Ottawa,45.42324203,-75.69438644,National Arts Centre Orchestra,National Arts Centre,,carmen-dress-olo.jpg,Image;Stillimage,image/jpeg,,,OpŽra comique
tp00115,2013,Verdi,https://www.wikidata.org/wiki/Q7317,La traviata (in concert),Opera Lyra Ottawa,Ottawa,45.42324203,-75.69438644,National Arts Centre Orchestra,National Arts Centre,,traviata-olo-2013.jpg,Image;Stillimage,image/jpeg,,,Lyric opera (concert performance)
tp00116,2013,Verdi,https://www.wikidata.org/wiki/Q7317,Aida,Manitoba opera,Winnipeg,49.89941312,-97.13715727,Winnipeg Symphony Orchestra,Centennial Hall,,aida-moa-2013.jpg,Image;Stillimage,image/jpeg,,,Grand opera
tp00117,2013,Donizetti,https://www.wikidata.org/wiki/Q101698,Don Pasquale,Manitoba opera,Winnipeg,49.89941312,-97.13715727,Winnipeg Symphony Orchestra,Centennial Hall,,pasquale-moa-2013.jpg,Image;Stillimage,image/jpeg,,,Opera buffa
tp00118,2014,Verdi,https://www.wikidata.org/wiki/Q7317,Otello,Erfurt Opera,Erfurt,50.97465258,11.01803361,Philharmonisches Orchester Erfurt,Theatre Erfurt,,DSC_9083.JPG,Image;Stillimage,image/jpeg,,,Tragic opera
tp00119,2014,Puccini,https://www.wikidata.org/wiki/Q7311,Madama Butterfly,Opera Lyra Ottawa,Ottawa,45.42324203,-75.69438644,National Arts Centre Orchestra,National Arts Centre,,butterfly-olo2014.jpg,Image;Stillimage,image/jpeg,,,Tragedy; lyric opera
tp00120,2014,Beethoven,,Fidelio,Manitoba opera,Winnipeg,49.89941312,-97.13715727,Winnipeg Symphony Orchestra,Centennial Hall,,fidelio-moa-2014.jpg,Image;Stillimage,image/jpeg,,,Singspiel
tp00121,2015,Puccini,https://www.wikidata.org/wiki/Q7311,Turandot,Manitoba opera,Winnipeg,49.89941312,-97.13715727,Winnipeg Symphony Orchestra,Centennial Hall,,turandot-moa-2015.jpg,Image;Stillimage,image/jpeg,,,Opera
tp00122,2016,Verdi,https://www.wikidata.org/wiki/Q7317,Falstaff,Manitoba opera,Winnipeg,49.89941312,-97.13715727,Winnipeg Symphony Orchestra,Centennial Hall,,falstaff-moa2-016.jpg,Image;Stillimage,image/jpeg,,,Comic opera
tp00147,2016,Floyd,,Of Mice and Men,Manitoba opera,Winnipeg,49.89941312,-97.13715727,Winnipeg Symphony Orchestra,Centennial Hall,,mice-men.jpg,Image;Stillimage,image/jpeg,,,Opera
tp00124,2017,Mozart,,Magic Flute,Western University Opera,London,43.00724281,-81.2705523,UWO orchestra,Paul Davenport Theatre,,flute-dwfm-2017.jpg,Image;Stillimage,image/jpeg,,,Singspiel
tp00125,2017,Puccini,https://www.wikidata.org/wiki/Q7311,Madama Butterfly,Manitoba opera,Winnipeg,49.89941312,-97.13715727,Winnipeg Symphony Orchestra,Centennial Hall,,butterfly-moa-2017.jpg,Image;Stillimage,image/jpeg,,,Tragedy; lyric opera
tp00126,2017,Massenet,https://www.wikidata.org/wiki/Q194436,Werther,Manitoba opera,Winnipeg,49.89941312,-97.13715727,Winnipeg Symphony Orchestra,Centennial Hall,,werther-moa-2017.jpg,Image;Stillimage,image/jpeg,,,Drame lyrique; lyric opera
tp00127,2018,Gilbert and Sullivan,,Pirates of Penzance,Western University Opera,London,43.00724281,-81.2705523,UWO orchestra,Paul Davenport Theatre,,pirates-uwo-2018.jpg,Image;Stillimage,image/jpeg,,,Comic opera; operetta
tp00128,2018,Mozart,https://www.wikidata.org/wiki/Q254,Don Giovanni,Manitoba opera,Winnipeg,49.89941312,-97.13715727,Winnipeg Symphony Orchestra,Centennial Hall,,dongiovanni-moa-2018.jpg,Image;Stillimage,image/jpeg,,,Dramma giocoso
tp00129,2018,Verdi,https://www.wikidata.org/wiki/Q7317,La traviata,Manitoba opera,Winnipeg,49.89941312,-97.13715727,Winnipeg Symphony Orchestra,Centennial Hall,,traviata-moa-2018.jpg,Image;Stillimage,image/jpeg,,,Lyric opera
tp00130,2019,Mozart,,Le nozze di Figaro,Western University Opera,London,43.00724281,-81.2705523,UWO orchestra,Paul Davenport Theatre,,figaro-dwfm-2019.jpg,Image;Stillimage,image/jpeg,,,Opera buffa
tp00131,2019,Rossini,https://www.wikidata.org/wiki/Q9726,Il barbiere di Siviglia,Manitoba opera,Winnipeg,49.89941312,-97.13715727,Winnipeg Symphony Orchestra,Centennial Hall,,barber-mao-2019.jpg,Image;Stillimage,image/jpeg,,,Opera buffa
tp00132,2019,Floyd,https://www.wikidata.org/wiki/Q1041799,Susannah,Manitoba opera,Winnipeg,49.89941312,-97.13715727,Winnipeg Symphony Orchestra,Centennial Hall,,sus-moa-2019.jpg,Image;Stillimage,image/jpeg,,,Opera
tp00133,2022,Rossini,,La Cenerentola,Brott Opera,Hamilton,43.25617658,-79.87155395,First Ontario Place,,,cinder-brotto-2022.jpg,Image;Stillimage,image/jpeg,,,Dramma giocoso; opera buffa
tp00134,2022,,,PopOpera Concert,Brott Opera,McMaster University,43.26210794,-79.91700638,Brott Ppera Orchestra,,,brott-opera-2022.jpg,Image;Stillimage,image/jpeg,,,Concert; gala
tp00135,2022,Rossini,https://www.wikidata.org/wiki/Q9726,La Cenerentola,Manitoba opera,Winnipeg,49.89941312,-97.13715727,Winnipeg Symphony Orchestra,Centennial Hall,,cenerentola-moa-2022.jpg,Image;Stillimage,image/jpeg,,,Dramma giocoso; opera buffa
tp00136,2023,Various,,MOA 50th Anniversary Concert,,Wininpeg,49.89941312,-97.13715727,Winnipeg Symphony ORchestra,,,Manitoba-opera-50-Ann-Con.jpg,Image;Stillimage,image/jpeg,,,Concert; gala
tp00137,2023,Mozart,https://www.wikidata.org/wiki/Q254,CosÃ¬ fan tutte,Manitoba opera,Winnipeg,49.89941312,-97.13715727,Winnipeg Symphony Orchestra,Centennial Hall,,cosi-moa-2023.jpg,Image;Stillimage,image/jpeg,,,Opera buffa
tp00145,2023,,,,Manitoba opera,Winnipeg,49.89941312,-97.13715727,,,,ty-eye-cue.jpg,Image;Stillimage,image/jpeg,,,OpŽra comique
tp00146,2023,Various,,50th Anniversary Concert,Manitoba opera,Winnipeg,49.89941312,-97.13715727,Winnipeg Symphony Orchestra,Centennial Hall,,50-ann-mao-2023.jpg,Image;Stillimage,image/jpeg,,,Melodramma giocoso
tp00138,2024,Bizet,https://www.wikidata.org/wiki/Q56158,Carmen,Manitoba opera,Winnipeg,49.89941312,-97.13715727,Winnipeg Symphony Orchestra,Centennial Hall,,carmen-moa-2024.jpg,Image;Stillimage,image/jpeg,,,Concert; contemporary work
tp00139,2024,Donizetti,,Lâ€™Elisir dâ€™amore,Manitoba opera,Winnipeg,49.89941312,-97.13715727,Winnipeg Symphony Orchestra,Centennial Hall,,elixer-moa-2024.jpg,Image;Stillimage,image/jpeg,,,Lyric opera
tp00140,2025,Paterson,,Learning new things,,"London, Ont",43.00724281,-81.2705523,various,,,DSC_5932m.png,Image;Stillimage,image/jpeg,,,Verismo opera
tp00141,2025,Puccini,https://www.wikidata.org/wiki/Q7311,La bohÃ¨me,Manitoba opera,Winnipeg,49.89941312,-97.13715727,Winnipeg Symphony Orchestra,Centennial Hall,,boheme-mao-2025.jpg,Image;Stillimage,image/jpeg,,,Concert
tp00142,2025,Puccini,,Tosca,Manitoba opera,Winnipeg,49.89941312,-97.13715727,Winnipeg Symphony Orchestra,Centennial Hall,,tosca-moa-2025.jpg,Image;Stillimage,image/jpeg,,,Concert
tp00143,2016-2019,various,,Western University Chamber Orchestra,,,43.00724281,-81.2705523,Western University Chamber Orchestra,,,promo-dwfm-2019.jpg,Image;Stillimage,image/jpeg,,,
tp00144,2016-2019,various,,Western University Symphony Orchestra,,,43.00724281,-81.2705523,Western University Symphony Orchestra,,,promo-dwfm-2019.jpg,Image;Stillimage,image/jpeg,,,Concert; gala
tp00145,2014,Puccini,,Tosca,Opera Lyra Ottawa,Ottawa,45.42324203,-75.69438644,National Arts Centre Orchestra,National Arts Centre,,tosca-olo-2014.jpg,Image;Stillimage,image/jpeg,,,Opera
